influencer,video_title,comment_text,like_count,reply_count,days_since_post,sentiment,clean_comment,comment_length,word_count,engagement_score,has_question,has_suggestion
JeetSelal,Indian Bulking Diet Reality,The editing cuts made it harder to stay focused on the explanation.,36,7,9,negative,the editing cuts made it harder to stay focused on the explanation,66,12,50,0,0
JeetSelal,Indian Bulking Diet Reality,This is now part of my regular workout rotation. This is useful for people training at home.,128,9,9,positive,this is now part of my regular workout rotation this is useful for people training at home,90,17,146,0,0
JeetSelal,Indian Bulking Diet Reality,"The advice makes sense, though I still have a few questions. This is useful for people training at home.",63,6,9,neutral,the advice makes sense though i still have a few questions this is useful for people training at home,101,19,75,0,0
JeetSelal,Indian Bulking Diet Reality,The editing cuts made it harder to stay focused on the explanation. This is useful for people training at home.,36,7,9,negative,the editing cuts made it harder to stay focused on the explanation this is useful for people training at home,109,20,50,0,0
JeetSelal,Indian Bulking Diet Reality,"Nice explanation, though a beginner version would also help. This is useful for people training at home.",71,4,3,neutral,nice explanation though a beginner version would also help this is useful for people training at home,101,17,79,0,0
JeetSelal,Indian Bulking Diet Reality,The camera angle made the exercise demonstration hard to follow. This is useful for people training at home.,44,5,3,negative,the camera angle made the exercise demonstration hard to follow this is useful for people training at home,106,18,54,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,Finally a fitness video that feels useful instead of confusing.,139,10,6,positive,finally a fitness video that feels useful instead of confusing,62,10,159,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,Decent upload and the information is easy to apply.,74,7,6,neutral,decent upload and the information is easy to apply,50,9,88,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,This topic deserved a clearer and more detailed breakdown.,47,8,6,negative,this topic deserved a clearer and more detailed breakdown,57,9,63,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,Decent upload and the information is easy to apply. I hope you explore this topic again.,74,7,6,neutral,decent upload and the information is easy to apply i hope you explore this topic again,86,16,88,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,This topic deserved a clearer and more detailed breakdown. I hope you explore this topic again.,47,8,6,negative,this topic deserved a clearer and more detailed breakdown i hope you explore this topic again,93,16,63,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,This was helpful and straightforward for a general audience. I hope you explore this topic again.,58,6,4,neutral,this was helpful and straightforward for a general audience i hope you explore this topic again,95,16,70,0,0
ShreddedNisha,Common Beginner Mistakes in Fitness,I expected more practical examples instead of general tips. I hope you explore this topic again.,31,7,4,negative,i expected more practical examples instead of general tips i hope you explore this topic again,94,16,45,0,0
ShreddedNisha,Home Abs and Mobility Flow,Finally a fitness video that feels useful instead of confusing.,129,10,10,positive,finally a fitness video that feels useful instead of confusing,62,10,149,0,0
ShreddedNisha,Home Abs and Mobility Flow,Decent upload and the information is easy to apply.,64,7,10,neutral,decent upload and the information is easy to apply,50,9,78,0,0
ShreddedNisha,Home Abs and Mobility Flow,This topic deserved a clearer and more detailed breakdown.,37,8,10,negative,this topic deserved a clearer and more detailed breakdown,57,9,53,0,0
ShreddedNisha,Home Abs and Mobility Flow,Finally a fitness video that feels useful instead of confusing. I hope you explore this topic again.,129,10,10,positive,finally a fitness video that feels useful instead of confusing i hope you explore this topic again,98,17,149,0,0
ShreddedNisha,Home Abs and Mobility Flow,Decent upload and the information is easy to apply. I hope you explore this topic again.,64,7,10,neutral,decent upload and the information is easy to apply i hope you explore this topic again,86,16,78,0,0
ShreddedNisha,Home Abs and Mobility Flow,This topic deserved a clearer and more detailed breakdown. I hope you explore this topic again.,37,8,10,negative,this topic deserved a clearer and more detailed breakdown i hope you explore this topic again,93,16,53,0,0
ShreddedNisha,Home Abs and Mobility Flow,This was helpful and straightforward for a general audience. I hope you explore this topic again.,68,6,14,neutral,this was helpful and straightforward for a general audience i hope you explore this topic again,95,16,80,0,0
ShreddedNisha,Home Abs and Mobility Flow,I expected more practical examples instead of general tips. I hope you explore this topic again.,41,7,14,negative,i expected more practical examples instead of general tips i hope you explore this topic again,94,16,55,0,0
ShreddedNisha,What I Eat Before and After Workouts,"Clear coaching, great pacing, and very motivating energy.",134,10,1,positive,clear coaching great pacing and very motivating energy,54,8,154,0,0
ShreddedNisha,What I Eat Before and After Workouts,Useful video and I saved it for later reference.,69,7,1,neutral,useful video and i saved it for later reference,47,9,83,0,0
ShreddedNisha,What I Eat Before and After Workouts,I disagree with a few points in the bulking section.,42,8,1,negative,i disagree with a few points in the bulking section,51,10,58,0,0
ShreddedNisha,What I Eat Before and After Workouts,"Clear coaching, great pacing, and very motivating energy. The practical examples really matter here.",134,10,1,positive,clear coaching great pacing and very motivating energy the practical examples really matter here,96,14,154,0,0
ShreddedNisha,What I Eat Before and After Workouts,Useful video and I saved it for later reference. The practical examples really matter here.,69,7,1,neutral,useful video and i saved it for later reference the practical examples really matter here,89,15,83,0,0
ShreddedNisha,What I Eat Before and After Workouts,I disagree with a few points in the bulking section. The practical examples really matter here.,42,8,1,negative,i disagree with a few points in the bulking section the practical examples really matter here,93,16,58,0,0
ShreddedNisha,What I Eat Before and After Workouts,"This seems practical, especially for people training at home. The practical examples really matter here.",73,6,5,neutral,this seems practical especially for people training at home the practical examples really matter here,101,15,85,0,0
ShreddedNisha,What I Eat Before and After Workouts,The pacing was off and the key points were easy to miss. The practical examples really matter here.,46,7,5,negative,the pacing was off and the key points were easy to miss the practical examples really matter here,97,18,60,0,0
ShreddedNisha,Women's Strength Training Basics,"Clear coaching, great pacing, and very motivating energy.",124,10,5,positive,clear coaching great pacing and very motivating energy,54,8,144,0,0
ShreddedNisha,Women's Strength Training Basics,Useful video and I saved it for later reference.,59,7,5,neutral,useful video and i saved it for later reference,47,9,73,0,0
ShreddedNisha,Women's Strength Training Basics,I disagree with a few points in the bulking section.,32,8,5,negative,i disagree with a few points in the bulking section,51,10,48,0,0
ShreddedNisha,Women's Strength Training Basics,"Clear coaching, great pacing, and very motivating energy. The practical examples really matter here.",124,10,5,positive,clear coaching great pacing and very motivating energy the practical examples really matter here,96,14,144,0,0
ShreddedNisha,Women's Strength Training Basics,Useful video and I saved it for later reference. The practical examples really matter here.,59,7,5,neutral,useful video and i saved it for later reference the practical examples really matter here,89,15,73,0,0
ShreddedNisha,Women's Strength Training Basics,I disagree with a few points in the bulking section. The practical examples really matter here.,32,8,5,negative,i disagree with a few points in the bulking section the practical examples really matter here,93,16,48,0,0
ShreddedNisha,Women's Strength Training Basics,"This seems practical, especially for people training at home. The practical examples really matter here.",63,6,9,neutral,this seems practical especially for people training at home the practical examples really matter here,101,15,75,0,0
ShreddedNisha,Women's Strength Training Basics,The pacing was off and the key points were easy to miss. The practical examples really matter here.,36,7,9,negative,the pacing was off and the key points were easy to miss the practical examples really matter here,97,18,50,0,0
